TheKey	FName	LName	City	StateProvinceName	Country	BDate	MS	GN	YearlyIncome	UName	TotalChildren	NumberChildrenAtHome	HouseOwnerFlag	NumberCarsOwned
11000	Jon	Yang	Rockhampton	Queensland	Australia	1971-10-06	M	M	90000	jon24 	2	0	1	0
11001	Eugene	Huang	Seaford	Victoria	Australia	1976-05-10	S	M	60000	eugene10 	3	3	0	1
11002	Ruben	Torres	Hobart	Tasmania	Australia	1971-02-09	M	M	60000	ruben35 	3	3	1	1
11003	Christy	Zhu	North Ryde	New South Wales	Australia	1973-08-14	S	F	70000	christy12 	0	0	0	1
11004	Elizabeth	Johnson	Wollongong	New South Wales	Australia	1979-08-05	S	F	80000	elizabeth5 	5	5	1	4
11005	Julio	Ruiz	East Brisbane	Queensland	Australia	1976-08-01	S	M	70000	julio1 	0	0	1	1
11006	Janet	Alvarez	Matraville	New South Wales	Australia	1976-12-02	S	F	70000	janet9 	0	0	1	1
11007	Marco	Mehta	Warrnambool	Victoria	Australia	1969-11-06	M	M	60000	marco14 	3	3	1	2
11008	Rob	Verhoff	Bendigo	Victoria	Australia	1975-07-04	S	F	60000	rob4 	4	4	1	3
11009	Shannon	Carlson	Hervey Bay	Queensland	Australia	1969-09-29	S	M	70000	shannon38 	0	0	0	1
11010	Jacquelyn	Suarez	East Brisbane	Queensland	Australia	1969-08-05	S	F	70000	jacquelyn20 	0	0	0	1
11011	Curtis	Lu	East Brisbane	Queensland	Australia	1969-05-03	M	M	60000	curtis9 	4	4	1	4
11012	Lauren	Walker	Bremerton	Washington	United States	1979-01-14	M	F	100000	lauren41 	2	0	1	2
11013	Ian	Jenkins	Lebanon	Oregon	United States	1979-08-03	M	M	100000	ian47 	2	0	1	3
11014	Sydney	Bennett	Redmond	Washington	United States	1973-11-06	S	F	100000	sydney23 	3	0	0	3
11015	Chloe	Young	Burbank	California	United States	1984-08-26	S	F	30000	chloe23 	0	0	0	1
11016	Wyatt	Hill	Imperial Beach	California	United States	1984-10-25	M	M	30000	wyatt32 	0	0	1	1
